Event,Location,Pearons Statistic,Pvalue,Min TG,Max TG,Min SAT,Max SAT,Percent_usable
Sandy,"Atlantic City, NJ",-0.8307771964541346,0.001537424752063651,-0.34474992752075195,0.7571251392364502,-0.011457881579796492,0.011457881579796436,100.0
Sandy,"The Battery, NY",-0.7424619647484808,0.008869248556628169,-0.4015833333333332,0.8669166666666668,-0.014469226201375252,0.014469226201375363,100.0
Sandy,"Montauk, NY",-0.7531328301741065,0.007455934229714956,-0.3132878787878788,0.7259204545454547,-0.01068242515126866,0.010682425151268604,100.0
Maria,"Isabel Segunda, PR",-0.46111163832744423,0.06246702286955319,-0.09793877601623535,0.2222280502319336,-0.001560370127359989,0.0015603701273600445,100.0
Maria,"Esperanza, PR",TOO SHORT,TOO SHORT,,,-0.001560370127359989,0.0015603701273600445,0.0
Maria,"Arecibo, PR",TOO SHORT,TOO SHORT,,,-0.0016681849956512451,0.0016681849956512451,0.0
Maria,"Mayaguez, PR",TOO SHORT,TOO SHORT,,,-0.0013145009676616137,0.0013145009676615027,0.0
Maria,"Fajardo, PR",0.8002793342695729,0.10387470925223188,-0.07427835464477539,0.2175273895263672,-0.000390092531840025,0.0003900925318399695,100.0
Ketsana,"Malakal, Palau",-0.47123345888475304,0.3454710918143166,-0.25140976905822754,0.11129868030548096,-0.0017577782273292542,0.0017577782273292542,100.0
Ketsana,"Legaspi, Philippines",TOO SHORT,TOO SHORT,,,-0.0019367411732673645,0.0019367411732673645,0.0
Ketsana,"Manila, Philippines",TOO SHORT,TOO SHORT,-0.11147904396057129,0.26039600372314453,,,0.0
Ketsana,"Subic Bay, Philippines",0.6426570312975,0.16872571988471247,-0.107208251953125,0.2514582872390747,-0.0008405869205793115,0.0008405869205792005,100.0
Ketsana,"Qui Nhon, Vietnam",0.9491202756007415,0.0038172621818771666,-0.20693743228912354,0.38843750953674316,-0.0023103132843971252,0.0023103132843971252,100.0
